phase,window_s,mode,method,cluster_id,n_members,n_cheaters,cheater_rate,fisher_p,latency_median,is_high_risk,member_ids
T3_pre,2,pooled,hdbscan,-1,40,18,0.45,0.4374259904258315,11.183499999999995,False,6;39;61;73;103;158;165;212;215;221;223;227;229;234;235;259;278;288;309;322;323;325;329;343;354;381;384;388;393;396;398;403;416;421;431;432;444;445;463;464
T3_pre,2,pooled,hdbscan,0,15,9,0.6,0.5812748388710329,18.333000000000013,False,8;96;110;190;240;275;308;310;313;334;378;402;440;442;14
T3_pre,2,pooled,hdbscan,1,60,31,0.5166666666666667,0.8527052739392331,13.600000000000009,False,4;30;40;69;76;90;91;93;112;150;160;166;176;183;189;198;206;210;214;224;230;232;237;241;248;250;251;253;256;265;273;286;307;320;321;328;340;348;350;355;357;361;362;370;373;375;377;380;391;401;405;408;411;413;415;427;468;469;471;86
T3_pre,2,pooled,kmeans_k3,0,39,17,0.4358974358974359,0.3287717043189368,11.550000000000011,False,4;90;91;150;183;198;206;221;224;232;235;237;241;250;253;256;265;286;307;320;322;323;328;329;348;354;362;375;381;384;388;391;401;408;421;427;463;468;469
T3_pre,2,pooled,kmeans_k3,1,33,16,0.48484848484848486,0.8385858060627036,11.860499999999988,False,6;8;39;61;73;96;103;110;160;165;190;212;223;240;275;278;288;308;309;310;313;334;343;378;393;396;402;403;416;432;440;442;14
T3_pre,2,pooled,kmeans_k3,2,43,25,0.5813953488372093,0.24862374051302066,15.116500000000002,False,30;40;69;76;93;112;158;166;176;189;210;214;215;227;229;230;234;248;251;259;273;321;325;340;350;355;357;361;370;373;377;380;398;405;411;413;415;431;444;445;464;471;86
T3_pre,5,pooled,hdbscan,-1,41,20,0.4878048780487805,1.0,12.600000000000009,False,40;93;96;103;112;176;183;206;210;212;230;232;234;240;248;251;265;273;275;278;310;322;323;334;343;361;362;370;375;377;381;393;398;403;405;427;431;444;464;471;14
T3_pre,5,pooled,hdbscan,0,44,24,0.5454545454545454,0.5618786394838353,13.550000000000011,False,6;8;30;61;69;73;90;158;160;189;190;214;221;224;227;229;235;241;250;256;259;284;286;288;307;313;320;325;329;348;357;378;380;384;396;402;408;411;416;421;440;442;445;469
T3_pre,5,pooled,hdbscan,1,10,6,0.6,0.7421812646159163,10.058499999999995,False,166;198;237;253;321;373;401;432;468;86
T3_pre,5,pooled,hdbscan,2,9,2,0.2222222222222222,0.1617149173524034,4.591499999999996,False,4;76;91;150;165;215;223;340;388
